id,ltable_id,ltable_city_ascii,ltable_country,rtable_id,rtable_city_ascii,rtable_country,city_ascii_sim,country_sim,is_matching
12652,243,Putian,China,401,Pingliang,China,0.444444444,1.0,0
3703,517,Guiping,China,931,Huilong,China,0.571428571,1.0,0
6336,146,Mianyang,China,318,Yanjiang,China,0.5,1.0,0
12953,423,Pingxiang,China,594,Jiangyin,China,0.444444444,1.0,0
6925,284,Xiangtan,China,331,Yantai,China,0.5,1.0,0
1343,49,Luanda,Angola,2018,Luena,Angola,0.666666667,1.0,0
610,87,Xinyang,China,963,Xin'an,China,0.714285714,1.0,0
3055,56,Nanjing,China,278,Daqing,China,0.571428571,1.0,0
1403,130,Zhangzhou,China,1382,Shangzhi,China,0.666666667,1.0,0
12632,229,Siping,China,423,Pingxiang,China,0.444444444,1.0,0
4624,130,Zhangzhou,China,194,Binzhou,China,0.555555556,1.0,0
5105,250,Tongliao,China,1041,Tongchuan,China,0.555555556,1.0,0
7884,151,Changsha,China,1697,Baisha,China,0.5,1.0,0
4039,362,Huainan,China,1612,Jiannan,China,0.571428571,1.0,0
615,108,Dezhou,China,168,Meizhou,China,0.714285714,1.0,0
1706,6,Shanghai,China,266,Shanwei,China,0.625,1.0,0
2492,328,Xuanzhou,China,1318,Bazhou,China,0.625,1.0,0
12976,518,Lianjiang,China,576,Liangshi,China,0.444444444,1.0,0
13111,32,Chongqing,China,1095,Cencheng,China,0.444444444,1.0,0
3600,304,Zigong,China,931,Huilong,China,0.571428571,1.0,0
4763,323,Yangjiang,China,617,Yongcheng,China,0.555555556,1.0,0
1960,157,Yangzhou,China,234,Qinzhou,China,0.625,1.0,0
12403,130,Zhangzhou,China,542,Pizhou,China,0.444444444,1.0,0
12842,336,Guangyuan,China,990,Yangchun,China,0.444444444,1.0,0
13720,359,Anshun,China,1646,Jiangshan,China,0.444444444,1.0,0
7117,361,Shangzhou,China,541,Shuangyashan,China,0.5,1.0,0
12166,84,Huanggang,China,154,Jiangmen,China,0.444444444,1.0,0
8354,295,Longyan,China,1308,Zhuangyuan,China,0.5,1.0,0
5913,73,Hengyang,China,260,Chaoyang,China,0.5,1.0,0
11447,267,Quezon City,Philippines,1442,Muntinlupa City,Philippines,0.466666667,1.0,0
7778,120,Yongzhou,China,1682,Minzhu,China,0.5,1.0,0
7838,139,Suqian,China,1639,Fujin,China,0.5,1.0,0
465,131,Yuncheng,China,1095,Cencheng,China,0.75,1.0,0
1494,361,Shangzhou,China,1504,Longzhou,China,0.666666667,1.0,0
11941,16,Shenzhen,China,244,Zhenjiang,China,0.444444444,1.0,0
12972,489,Semarang,Indonesia,512,Palembang,Indonesia,0.444444444,1.0,0
4655,165,Changchun,China,568,Huangshan,China,0.555555556,1.0,0
6485,168,Meizhou,China,985,Jiaozhou,China,0.5,1.0,0
6030,98,Qingdao,China,250,Tongliao,China,0.5,1.0,0
13392,163,Yiyang,China,1352,Tianchang,China,0.444444444,1.0,0
6675,212,Wenzhou,China,225,Hanzhong,China,0.5,1.0,0
13363,135,Taizhou,China,1150,Langzhong,China,0.444444444,1.0,0
7665,90,Qujing,China,1087,Fuyang,China,0.5,1.0,0
